cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
19	rest	80	ENSG00000037749	4.108496	3.151267	3.98243366452316e-05	0.00940190212726884
19	rest	81	ENSG00000248905	4.094349	2.6711075	4.23356740812809e-05	0.00965237348134118
19	rest	82	ENSG00000100162	4.0939445	3.0469887	4.24095883714461e-05	0.00965237348134118
19	rest	83	ENSG00000094804	4.0923276	3.5324934	4.27064716275363e-05	0.00965237348134118
19	rest	84	ENSG00000104889	4.0915194	2.5909944	4.28556515885013e-05	0.00965237348134118
19	rest	85	ENSG00000184226	4.0874767	2.938369	4.36089962573254e-05	0.00971043501888967
19	rest	86	ENSG00000101361	4.0725207	2.9501216	4.65070438611775e-05	0.0102393879152784
19	rest	87	ENSG00000167670	4.069489	3.0798578	4.71163327209168e-05	0.0102582726629596
19	rest	88	ENSG00000101868	4.0587773	3.0249124	4.93303274106245e-05	0.010533073771891
19	rest	89	ENSG00000215158	4.0551395	2.8253913	5.01044281034406e-05	0.010533073771891
19	rest	90	ENSG00000143811	4.0539265	2.9343343	5.03650103619912e-05	0.010533073771891
19	rest	91	ENSG00000173207	4.0519056	2.697319	5.08021708073458e-05	0.010533073771891
19	rest	92	ENSG00000130816	4.050693	2.9762106	5.10661907797726e-05	0.010533073771891
19	rest	93	ENSG00000010292	4.047459	3.0036664	5.17766163584587e-05	0.0105683624744167
19	rest	94	ENSG00000178691	4.0337157	2.7940853	5.49017494931891e-05	0.0110907193950417
19	rest	95	ENSG00000105427	4.030684	3.2567475	5.56147737471691e-05	0.0111201172609773
19	rest	96	ENSG00000166508	4.0232058	2.8972588	5.74112594004811e-05	0.0113633699793174
19	rest	97	ENSG00000226618	4.017749	2.0813155	5.87567492078166e-05	0.011427113048828
19	rest	98	ENSG00000148950	4.01593	2.5468173	5.92118432992123e-05	0.011427113048828
19	rest	99	ENSG00000124207	4.0131006	2.9535632	5.99264079008163e-05	0.011427113048828
20	rest	0	ENSG00000109846	7.3628974	6.8068814	1.79960760596094e-13	3.52633110388045e-09
20	rest	1	ENSG00000177459	6.837424	4.256948	8.06298986168619e-12	7.89971431698705e-08
20	rest	2	ENSG00000163453	5.918797	5.2147207	3.24305176894274e-09	1.58868998531082e-05
